time,open,high,low,close,Plot,Plot,Shapes,Shapes,Plot,Plot,Plot,Plot,Shapes,Shapes,Plot,Plot
1637643600,1.33923,1.33988,1.33823,1.33883,9.573550259058918e+307,-1.109264229448252e+308,NaN,NaN,NaN,NaN,9.573550259058918e+307,-1.109264229448252e+308,NaN,NaN,NaN,NaN
1637647200,1.33883,1.33905,1.3382,1.33866,-7.502695491941677e+307,1.4081443298400908e+308,NaN,-7.502695491941677e+307,NaN,NaN,-7.502695491941677e+307,1.4081443298400908e+308,NaN,-7.502695491941677e+307,NaN,NaN
1637650800,1.33866,1.34093,1.3379699999999999,1.33983,1.126672822810883e+308,NaN,1.126672822810883e+308,NaN,NaN,NaN,1.126672822810883e+308,NaN,1.126672822810883e+308,NaN,NaN,NaN
1637654400,1.33983,1.33983,1.3375,1.33802,-1.305131375464925e+308,-9.353717733502345e+307,NaN,-1.305131375464925e+308,NaN,NaN,-1.305131375464925e+308,-9.353717733502345e+307,NaN,-1.305131375464925e+308,NaN,NaN
1637658000,1.33802,1.33915,1.33742,1.33786,NaN,7.330414942527444e+307,NaN,NaN,NaN,NaN,NaN,7.330414942527444e+307,NaN,NaN,NaN,NaN
1637661600,1.33786,1.33867,1.33598,1.33599,9.224015516314623e+307,-1.10080161250621e+308,NaN,NaN,NaN,NaN,9.224015516314623e+307,-1.10080161250621e+308,NaN,NaN,NaN,NaN
1637665200,1.33599,1.33749,1.33562,1.33575,-7.228768613437736e+307,1.2751623129240888e+308,NaN,-7.228768613437736e+307,NaN,NaN,-7.228768613437736e+307,1.2751623129240888e+308,NaN,-7.228768613437736e+307,NaN,NaN
1637668800,1.33575,1.33613,1.33423,1.33476,1.0855374775500642e+308,NaN,1.0855374775500642e+308,NaN,NaN,NaN,1.0855374775500642e+308,NaN,1.0855374775500642e+308,NaN,NaN,NaN
1637672400,1.33476,1.33743,1.33473,1.33681,-1.2574804260024754e+308,-9.01220917782429e+307,NaN,-1.2574804260024754e+308,NaN,NaN,-1.2574804260024754e+308,-9.01220917782429e+307,NaN,-1.2574804260024754e+308,NaN,NaN
1637676000,1.33681,1.33802,1.3365799999999999,1.33742,NaN,7.062778106472735e+307,NaN,NaN,NaN,NaN,NaN,7.062778106472735e+307,NaN,NaN,NaN,NaN
1637679600,1.33742,1.33772,1.33525,1.33693,8.887242448505885e+307,-1.0606108370855892e+308,NaN,NaN,NaN,NaN,8.887242448505885e+307,-1.0606108370855892e+308,NaN,NaN,NaN,NaN
1637683200,1.33693,1.33866,1.33591,1.33852,-6.964842931816637e+307,1.2286055477801037e+308,NaN,-6.964842931816637e+307,NaN,NaN,-6.964842931816637e+307,1.2286055477801037e+308,NaN,-6.964842931816637e+307,NaN,NaN
1637686800,1.33852,1.33881,1.33731,1.33741,1.0459040027484133e+308,NaN,1.0459040027484133e+308,NaN,NaN,NaN,1.0459040027484133e+308,NaN,1.0459040027484133e+308,NaN,NaN,NaN
1637690400,1.33741,1.33769,1.33654,1.33698,-1.211569234718672e+308,-8.683169257284064e+307,NaN,-1.211569234718672e+308,NaN,NaN,-1.211569234718672e+308,-8.683169257284064e+307,NaN,-1.211569234718672e+308,NaN,NaN
1637694000,1.33698,1.33818,1.33685,1.33803,NaN,6.804912814945172e+307,NaN,NaN,NaN,NaN,NaN,6.804912814945172e+307,NaN,NaN,NaN,NaN
1637697600,1.33803,1.33852,1.33784,1.33801,8.562765120985173e+307,-1.0218874454428982e+308,NaN,NaN,NaN,NaN,8.562765120985173e+307,-1.0218874454428982e+308,NaN,NaN,NaN,NaN
1637701200,1.33801,1.33823,1.33722,1.33747,-6.710553298759835e+307,1.183748591639807e+308,NaN,-6.710553298759835e+307,NaN,NaN,-6.710553298759835e+307,1.183748591639807e+308,NaN,-6.710553298759835e+307,NaN,NaN
1637704800,1.33747,1.33775,1.33701,1.33734,1.007717564421632e+308,NaN,1.007717564421632e+308,NaN,NaN,NaN,1.007717564421632e+308,NaN,1.007717564421632e+308,NaN,NaN,NaN
